10001,118,0,803
10002,0,0,30
10003,0,0,110
10004,0,0,35
10005,0,0,26
10006,95,0,45
10007,0,0,495
10008,0,0,265
10009,0,0,109
10010,0,0,10
10011,0,0,46
10012,13,0,416
10013,0,0,57
10014,31,0,236
10015,0,0,24
10100,0,0,26
10101,0,0,18
10102,5,0,68
10103,0,0,140
10104,0,0,32
10105,0,0,32
10106,0,0,90
10107,4,0,94
10108,0,0,12
10109,0,0,16
10110,2,0,63
10111,11,0,80
10112,13,0,106
10113,0,0,96
10114,5,0,748
10115,0,0,14
10200,0,0,7
10201,0,0,21
10202,0,0,166
10203,0,0,61
10204,0,0,8
10205,0,0,19
10206,0,0,34
10207,0,0,107
10208,0,0,14
10209,0,0,57
10210,13,0,11
10211,29,0,32
10212,6,0,51
10213,0,0,26
10214,0,0,78
10215,0,0,38
10300,0,0,73
10301,0,0,27
10302,0,0,66
10303,0,0,8
10304,3,0,31
10305,0,0,21
10306,0,0,154
10307,0,0,48
10308,0,0,48
10309,0,0,40
10310,0,0,21
10311,0,0,49
10312,0,0,199
10313,0,0,85
10314,0,0,48
10315,0,0,104
10400,0,0,50
10401,4,0,109
10402,0,0,22
10403,0,0,114
10404,14,0,114
10405,0,0,10
10406,11,0,18
10407,10,0,199
10408,0,0,73
10409,0,0,35
10410,0,0,44
10411,0,0,72
10412,0,0,55
10413,2,0,8
10414,21,0,234
10415,0,0,68
10500,26,0,12
10501,0,0,76
10502,0,0,40
10503,0,0,158
10504,20,0,59
10505,0,0,48
10506,0,0,43
10507,0,0,14
10508,26,0,199
10509,0,0,12
10510,0,0,82
10511,1,0,405
10512,0,0,41
10513,0,0,40
10514,0,0,50
10515,2,0,179
10600,0,0,23
10601,1,0,79
10602,0,0,96
10603,0,0,33
10604,0,0,18
10605,1,0,21
10606,0,0,23
10607,0,0,49
10608,0,0,23
10609,0,0,48
10610,0,0,14
10611,0,0,124
10612,0,0,26
10613,0,0,90
10614,0,0,55
10615,0,0,41
10700,0,0,46
10701,0,0,59
10702,0,0,72
10703,0,0,23
10704,16,0,252
10705,0,0,116
10706,0,0,55
10707,0,0,20
10708,1,0,180
10709,170,0,499
10710,0,0,18
10711,0,0,121
10712,0,0,28
10713,0,0,213
10714,13,0,211
10715,0,0,43
10800,18,0,77
10801,0,0,29
10802,1,0,212
10803,0,0,28
10804,0,0,78
10805,0,0,16
10806,0,0,29
10807,3,0,111
10808,3,0,72
10809,0,0,24
10810,0,0,11
10811,0,0,37
10812,0,0,232
10813,0,0,378
10814,0,0,37
10815,0,0,99
10900,0,0,162
10901,0,0,74
10902,0,0,934
10903,5,0,35
10904,0,0,46
10905,0,0,182
10906,0,0,24
10907,0,0,208
10908,0,0,48
10909,0,0,53
10910,0,0,153
10911,9,0,233
10912,0,0,39
10913,7,0,105
10914,0,0,35
10915,2,0,93
11000,0,0,44
11001,0,0,16
11002,2,0,79
11003,0,0,21
11004,0,0,24
11005,0,0,30
11006,0,0,25
11007,0,0,111
11008,0,0,4
11009,0,0,75
11010,0,0,40
11011,0,0,98
11012,0,0,33
11013,0,0,118
11014,0,0,10
11015,0,0,11
11100,2,0,26
11101,0,0,24
11102,0,0,50
11103,110,0,402
11104,0,0,64
11105,46,0,361
11106,25,0,37
11107,2,0,32
11108,0,0,28
11109,15,0,47
11110,4,0,17
11111,0,0,63
11112,0,0,236
11113,0,0,47
11114,0,0,55
11115,0,0,20
11200,0,0,82
11201,5,0,91
11202,0,0,7
11203,0,0,41
11204,48,0,26
11205,0,0,26
11206,0,0,14
11207,1,0,48
11208,0,0,39
11209,0,0,25
11210,0,0,25
11211,0,0,22
11212,0,0,50
11213,25,0,13
11214,0,0,19
11215,0,0,96
11300,1,0,22
11301,0,0,45
11302,28,0,195
11303,0,0,23
